This chart shows expert ratings of over 1700 Chocolate Bars,,,,,,,,,
"Among the criteria are review date, cocoa percent, and the type of cocoa bean in the chocolate bar",,,,,,,,,
Data retrieved from kaggle.com,,,,,,,,,
"CompanyX 
(Maker-if known)","Specific Bean Origin
or Bar Name",REF,"Review
Date","Cocoa
Percent",Column,"Company
Location",Rating,"Bean
Type","Broad Bean
Origin"
Burnt Fork Bend,"Ecuador, Bob Bar",1323,"December, 2014",60%,,U.S.A.,2.5,X ,Ecuador
Cacao Arabuco,Puerto Rico,1606,"July, 2015",70%,,Puerto Rico,2.5,X ,Puerto Rico
Cacao Atlanta,Tumbes,1215,"December, 2014",75%,,U.S.A.,2.5,Criollo,Peru
Cacao Atlanta,"Dominican Republic, ""Love Bar""",502,"May, 2010",75%,,U.S.A.,2.5,X ,Dominican Republic
Cacao Atlanta,Dominican Republic w/ nibs,502,"May, 2010",75%,,usa.,2.75,X ,Dominican Republic
Cacao Atlanta,Patanemo,600,"May, 2010",75%,,U.S.A.,2.25,X ,Venezuela
Cacao Barry,Grand 'Anse,1716,"September, 2016",65%,, France  ,3.5,"Trinitario, Criollo",Haiti
Cacao Barry,Santo Domingo,586,"May, 2010",70%,,  France ,3,X ,Dominican Republic
Cacao Barry,Tanzania,300,"April, 2008",75%,, France,2,X ,Tanzania
Cacao Barry,Venezuela,141,"June, 2007",72%,, France,2,X ,Venezuela
Cacao Barry,Mexico,147,"June, 2007",66%,, France,3,X ,Mexico
Cacao de Origen,Chuao,1688,"July, 2015",77%,,Venezuela,3.5,Trinitario,Venezuela
Cacao de Origen,Rio Caribe,1692,"July, 2015",75%,,Venezuela,3.25,Trinitario,Venezuela
Cacao de Origen,Agua Fria; Sucre region,1391,"December, 2014",75%,,Venezuela,2.5,X ,Venezuela
Cacao de Origen,Macuare; Miranda; Chloe formula,1391,"December, 2014",74%,,Venezuela,3.25,X ,Venezuela
Cacao de Origen,"Chuao, Aragua region",1391,"December, 2014",75%,,Venezuela,3.5,Trinitario,Venezuela
Cacao de Origen,"Chuao, Aragua region",1395,"December, 2014",70%,,Venezuela,3.75,Trinitario,Venezuela
Cacao de Origin,Hacienda la Trinidad,1668,"July, 2015",74%,,Venezuela,3.25,X ,Venezuela
Cacao Hunters,Macondo,1816,"September, 2016",71%,,Colombia,3.75,X ,Colombia
Cacao Hunters,Perla Negra,1816,"September, 2016",74%,,Colombia,3.75,X ,Colombia
Cacao Hunters,Arhuacos,1662,"July, 2015",72%,,Colombia,3.75,X ,Colombia
Cacao Hunters,Sierra Nevada,1430,"December, 2014",64%,,Colombia,3.5,X ,Colombia
Cacao Hunters,Tumaco,1430,"December, 2014",70%,,Colombia,3.5,X ,Colombia
Cacao Hunters,"Boyaca, Aprocampa Coop, Pauna",1434,"December, 2014",69%,,Colombia,2.75,X ,Colombia
Cacao Hunters,Arauca,1434,"December, 2014",70%,,Colombia,3.25,X ,Colombia
Cacao Market,"Jutiapa, lot 050916D",1860,"September, 2016",70%,,U.S.A.,3.5,Trinitario,Honduras
Cacao Prieto,"Criollo, Dominican Republic",991,"January, 2012",72%,,U.S.A.,3.75,Criollo,Dominican Republic
Cacao Prieto,"Dominican Republicm, rustic",641,"October, 2011",72%,,U.S.A.,3,X ,Dominican Republic
Cacao Prieto,Dominican Republic,641,"October, 2011",66%,,U.S.A.,3.75,X ,Dominican Republic
Cacao Prieto,"Dominican Republic, rustic",647,"October, 2011",65%,,U.S.A.,3.25,X ,Dominican Republic
Cacao Sampaka,"Mahali, Kasai",1908,"September, 2016",70%,,Spain,3.5,Criollo,Congo
Cacao Sampaka,Madagascar,508,"May, 2010",71%,,Spain,3.5,Trinitario,Madagascar
Cacao Sampaka,Ecuador,523,"May, 2010",71%,,Spain,3.75,X ,Ecuador
Cacao Sampaka,Papua,523,"May, 2010",71%,,  Spain ,4,X ,Papua New Guinea
Cacao Sampaka,Grenada,537,"May, 2010",71%,,Spain,3.25,Trinitario,Grenada
Cacao Sampaka,Venezuela,537,"May, 2010",71%,,Spain,3.5,X ,Venezuela
Cacao Sampaka,Venezuela,537,"May, 2010",77%,,Spain,3.5,X ,Venezuela
Cacao Sampaka,"Porcelana, Tabasco, La Joya",336,"February, 2009",70%,,Spain,4,Criollo,Mexico
Cacao Sampaka,"Xoconusco, Chiapas",346,"February, 2009",70%,,Spain,4,Criollo,Mexico
Cacao Store,Madagascar,1684,"July, 2015",70%,,Japan,3,Trinitario,Madagascar
Cacao Store,Peru,1684,"July, 2015",70%,,Japan,3.25,X ,Peru
Cacao Store,Vietnam,1684,"July, 2015",70%,,Japan,3.5,Trinitario,Vietnam
Cacaosuyo (Theobroma Inversiones),Piura,1173,"May, 2013",70%,,Peru,3.25,X ,Peru
Cacaoyere (Ecuatoriana),Amazonia,237,"April, 2008",63%,,Ecuador,3.5,Forastero (Arriba),Ecuador
Cacaoyere (Ecuatoriana),Esmeraldas,237,"April, 2008",71%,,Ecuador,3.5,Forastero (Arriba),Ecuador
Cacaoyere (Ecuatoriana),Bolivar,245,"April, 2008",82%,,Ecuador,2.5,Forastero (Arriba),Ecuador
Cacaoyere (Ecuatoriana),Pichincha,259,"April, 2008",91%,,Ecuador,1.5,Forastero (Arriba),Ecuador
Callebaut,Grenade,296,"April, 2008",60%,,Belgium,2.75,Trinitario,Grenada
Callebaut,Baking,141,"June, 2007",70%,,Belgium,1,X ,Ecuador
C-Amaro,Cuba,1442,"December, 2014",75%,,italy,2.5,X ,Cuba
C-Amaro,Dominican Republic,1442,"December, 2014",72%,,Italy,3,X ,Dominican Republic
C-Amaro,"Lago di Como, Blu",1442,"December, 2014",70%,,Italy,3.5,Blend,X 
C-Amaro,Ecuador,1185,"May, 2013",100%,,Italy,3.5,X ,Ecuador
C-Amaro,Venezuela,809,"January, 2012",80%,,Italy,3,X ,Venezuela
C-Amaro,Sao Tome,749,"October, 2011",78%,,Italy,2.25,Forastero,Sao Tome
C-Amaro,Trinidad,765,"October, 2011",70%,,italy,2.5,Trinitario,Trinidad
Cao,Porcelana,1804,"September, 2016",75%,,U.S..,2.5,Criollo,Venezuela
Cao,Tanzania,1804,"September, 2016",73%,,U.S.A.,2.75,X ,Tanzania
Cao,"Porcelana, Batch 5163",1804,"September, 2016",70%,,U.S.A.,3,Criollo,Venezuela
Cao,Bolivia,1808,"September, 2016",75%,,U.S.A.,3,X ,Bolivia
Cao,Brazil,1808,"September, 2016",70%,,U.S.A.,3.25,Trinitario,Brazil
Caoni (Tulicorp),Esmeraldas,237,"April, 2008",77%,,Ecuador,2,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Manabi,237,"April, 2008",77%,,Ecuador,2.5,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Los Rios,245,"April, 2008",77%,,Ecuador,2.75,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Manabi,266,"April, 2008",55%,,Ecuador,3,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Los Rios,269,"April, 2008",55%,,Ecuador,3.25,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Esmeraldas,269,"April, 2008",55%,,Ecuador,3.5,Forastero (Arriba),Ecuador
Captain Pembleton,"Saidor Estate, Madang P.",1263,"December, 2014",70%,,New Zealand,3.5,Trinitario,Papua New Guinea
Captain Pembleton,Kulili Estate,1263,"December, 2014",70%,,New Zealand,3.75,X ,Papua New Guinea
Caribeans,"Antigua, Special Reserve",1582,"July, 2015",72%,,Costa Rica,3.5,X ,Guatemala
Caribeans,"Talamanca, Raul-Kekoldo community",1586,"July, 2015",72%,,Costa Rica,3.25,X ,Costa Rica
Caribeans,Anselmo Paraiso Estate,1586,"July, 2015",72%,,Costa Rica,3.5,X ,Costa Rica
Caribeans,Costa Rica,841,"January, 2012",72%,,Costa Rica,3,Forastero,Costa Rica
Caribeans,Costa Rica,845,"January, 2012",80%,,Costa Rica,2.75,Forastero,Costa Rica
Carlotta Chocolat,Arauca,1884,"September, 2016",65%,,Colombia,3,Trinitario,Colombia
Carlotta Chocolat,Tumaco,1888,"September, 2016",65%,,Colombia,3.25,Trinitario,Colombia
Carlotta Chocolat,Cordoba,1888,"September, 2016",65%,,Colombia,3.25,Trinitario,Colombia
Carlotta Chocolat,Huila,1888,"September, 2016",65%,,Colombia,3.5,Trinitario,Colombia
Carlotta Chocolat,Cesar,1888,"September, 2016",65%,,Colombia,3.5,CCN51,Colombia
Castronovo,"Maya Mtn, Batch 454, Heirloom",1724,"September, 2016",72%,,U.S.A.,4,Trinitario,Belize
Castronovo,"the lost city, gracias a dias, batch 362",1570,"July, 2015",72%,,U.S.A.,3.5,Trinitario,Honduras
Castronovo,"Duarte, Batch 360",1570,"July, 2015",70%,,U.S.A.,3.75,"Criollo, Trinitario",Domincan Republic
Castronovo,"Piaroa, Amazonas, Batch 350",1574,"July, 2015",72%,,U.S..,3.5,X ,Venezuela
Castronovo,Sierra Nevada,1347,"December, 2014",72%,,U.S.A.,3.5,"Criollo, Trinitario",Colombia
Castronovo,Arauca,1371,"December, 2014",76%,,U.S.A.,3.5,"Criollo, Trinitario",Colombia
Castronovo,Elvesia P.,1407,"December, 2014",70%,,U.S.A.,2.75,Trinitario,Dominican Republic
Castronovo,Bolivia,1101,"May, 2013",70%,,U.S.A.,3,Trinitario,Bolivia
Castronovo,Conacado,1101,"May, 2013",73%,,U.S.A.,3.5,Trinitario,Dominican Republic
Castronovo,San Martin,1105,"May, 2013",70%,,U.S.A.,2.5,Criollo,Peru
Castronovo,"Guaniamo, Amazonas",1105,"May, 2013",70%,,U.S.A.,3.25,X ,Venezuela
Castronovo,Nicaragua,1109,"May, 2013",72%,,U.S.A.,3.25,Trinitario,Nicaragua
Castronovo,Tumbes,1153,"May, 2013",70%,,U.S.A.,2.75,Criollo,Peru
Castronovo,Guaniamo,1153,"May, 2013",72%,,U.S.A.,3,X ,Venezuela
Cello,Ecuador,1247,"December, 2014",70%,,U.S.A.,2.5,X ,Ecuador
Cello,Peru,1247,"December, 2014",70%,,U.S..,2.75,X ,Peru
Cello,Venezuela,1251,"December, 2014",70%,,U.S.A.,2.75,X ,Venezuela
Cello,Bolivia,1251,"December, 2014",70%,,U.S.A.,3,X ,Bolivia
Cemoi,Equateur,404,"February, 2009",72%,, France,2.75,X ,Ecuador
Chaleur B,Uganda,1426,"December, 2014",70%,,Canada,2.75,Forastero,Uganda
Charm School,Maya Mtn,1900,"September, 2016",70%,,U.S.A.,3.25,X ,Belize
Chchukululu (Tulicorp),Arriba,486,"May, 2010",55%,,Ecuador,2.75,Forastero (Arriba),Ecuador
Chchukululu (Tulicorp),Los Rios,252,"April, 2008",75%,,Ecuador,3,Forastero (Arriba),Ecuador
Chequessett,la Amistad,1235,"December, 2014",70%,,U.S.A.,3.5,X ,Costa Rica
Chloe Chocolat,Blend No. 1,672,"October, 2011",70%,, France,3.5,X ,X 
Chocablog,Ecuador,1454,"July, 2015",70%,,U.K.,3.25,X ,Ecuador
Choco Del Sol,Maya Mountain w/ nibs,1407,"December, 2014",75%,,Germany ,3,Trinitario,Belize
Choco Del Sol,Maya Mountain,1407,"December, 2014",82%,,Germany ,3.25,Trinitario,Belize
Choco Dong,"Mekong Delta, early December, 2014 Harvest",1696,"July, 2015",70%,,South Korea,2.75,Trinitario,Vietnam
Choco Dong,"Tawau, Oct. July, 2015 Harvest",1696,"July, 2015",70%,,South Korea,3.5,Trinitario,Malaysia
Chocolarder,Peru,1482,"July, 2015",65%,,united kingdom,2.5,Criollo,Peru
Chocolarder,Peru + nibs,1482,"July, 2015",65%,,U.K.,2.75,Criollo,Peru
Chocolarder,Dominican Republic,1514,"July, 2015",80%,,U.K.,2.5,X ,Dominican Republic
Chocola'te,Madagascar,647,"October, 2011",70%,,U.S.A.,3.75,Trinitario,Madagascar
Chocola'te,Venezuela,647,"October, 2011",68%,,U.S.A.,3.75,X ,Venezuela
Chocolate Alchemist-Philly,"Tumbes, ""Zarumilla""",1772,"September, 2016",90%,,U.S.A.,2.5,X ,Peru
Chocolate Alchemist-Philly,"Philly Blend, 5 plantations",1772,"September, 2016",80%,,U.S.A.,2.5,X ,X 
Chocolate Con Amor,Wild Bolivian,1760,"September, 2016",70%,,U.S.A.,2.5,X ,Bolivia
Chocolate Con Amor,Uganda,1760,"September, 2016",70%,,U.S.A.,2.75,X ,Uganda
Chocolate Con Amor,Dominican Republic,1764,"September, 2016",60%,,U.S.A.,3,X ,Dominican Republic
Chocolate Con Amor,Dominican Republic,1764,"September, 2016",75%,,U.S.A.,3,X ,Dominican Republic
Chocolate Con Amor,Ocumare,1764,"September, 2016",80%,,U.S.A.,3,Criollo (Ocumare),Venezuela
Chocolate Con Amor,Ecuador,1764,"September, 2016",70%,,U.S..,3.25,X ,Ecuador
Chocolate Con Amor,Nicaragua,1768,"September, 2016",80%,,U.S.A.,2.75,X ,Nicaragua
Chocolate Conspiracy,Peru,1259,"December, 2014",74%,,U.S.A.,2.75,X ,Peru
Chocolate Makers,Tres Hombres,1530,"July, 2015",75%,,Amsterdam,3.25,Trinitario,Dominican Republic
Chocolate Makers,"Congo, Gorilla bar",1530,"July, 2015",68%,,Amsterdam,3.5,Forastero,Congo
Chocolate Makers,"Peru, Awagum bar",1530,"July, 2015",80%,,Amsterdam,3.75,Criollo,Peru
"Chocolate Tree, The",Maranon,1582,"July, 2015",69%,,Scotland,3.75,Forastero (Nacional),Peru
"Chocolate Tree, The",Carenero Superior,1582,"July, 2015",80%,,Scotland,3.75,Trinitario,Venezuela
"Chocolate Tree, The",Peru,1121,"May, 2013",70%,,Scotland,3.75,Forastero (Nacional),Peru
"Chocolate Tree, The",Ecuador,919,"January, 2012",82%,,Scotland,2.5,Forastero (Arriba),Ecuador
"Chocolate Tree, The",Peru,919,"January, 2012",68%,,Scotland,2.75,Criollo,Peru
"Chocolate Tree, The",Madagascar,919,"January, 2012",72%,,Scotland,3.25,Criollo,Madagascar
Chocolats Privilege,Xoconusco,1219,"December, 2014",70%,,Canada,2.5,Criollo,Mexico
ChocoReko,Patanemo,1454,"July, 2015",77%,,Japan,3,Criollo,Venezuela
Chocosol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",682,"October, 2011",65%,,Canada,3.25,X ,Mexico
Chocovic,Xoconusco,478,"May, 2010",71%,,  Spain ,3.25,Criollo,Mexico
Chocovic,Sambirano,478,"May, 2010",71%,,Spain,3.5,Trinitario,Madagascar
Chocovic,Kendari,439,"February, 2009",60%,,Spain,3.25,X ,X 
Chocovic,Tarakan,439,"February, 2009",75%,,Spain,3.25,X ,X 
Chocovic,Ocumare,209,"April, 2008",71%,,Spain,3.5,Criollo,Venezuela
Chocovic,"Bolivar, Guaranda",117,"June, 2007",71%,,Spain,2.5,Forastero (Arriba),Ecuador
Chocovic,Guyave,117,"June, 2007",71%,,Spain,2.5,Trinitario,Grenada
Chocovic,Maragda,117,"June, 2007",70%,,  Spain ,3,Blend,X 
Chocovivo,Tabasco,1522,"July, 2015",65%,,U.S.A.,2.5,Trinitario,Mexico
Chocovivo,Tabasco,1522,"July, 2015",75%,,U.S.A.,2.5,Trinitario,Mexico
Choklat,Ocumare,377,"February, 2009",80%,,Canada,2.5,Criollo,Venezuela
Choklat,"Porcelana, Tabasco",377,"February, 2009",70%,,Canada,2.75,Criollo,Mexico
Choklat,Brazilian,377,"February, 2009",70%,,Canada,3,X ,Brazil
Choklat,Brazilian,377,"February, 2009",80%,,canada,3,X ,Brazil
Choklat,Ocumare,377,"February, 2009",70%,,Canada,3,Criollo,Venezuela
Chokolat Elot (Girard),Guadeloupe,1149,"May, 2013",42%,,Martinique,2.75,X ,Martinique
Choocsol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",1832,"September, 2016",75%,,canada,3.25,X ,Mexico
Christopher Morel (Felchlin),"Maranon Canyon, Fortunato No. 4",666,"October, 2011",68%,,Canada,3.75,Forastero (Nacional),Peru
Chuao Chocolatier,Choroni,445,"February, 2009",61%,,U.S.A.,3,Criollo,Venezuela
Chuao Chocolatier (Pralus),Chuao,486,"May, 2010",77%,,U.S.A.,2.75,Trinitario,Venezuela
Claudio Corallo,Terreiro Velho P.,470,"May, 2010",73.50%,,Sao Tome,3.75,Forastero,Sao Tome & Principe
Claudio Corallo,Terreiro Velho P. w/ sugar crystals,209,"April, 2008",80%,,Sao Tome,3,Forastero,Sao Tome & Principe
Claudio Corallo,Terreiro Velho P.,227,"April, 2008",75%,,Sao Tome,4,Forastero,Sao Tome & Principe
Claudio Corallo,Principe,252,"April, 2008",100%,,Sao Tome,1,Forastero,Sao Tome & Principe
Cloudforest,"Camino Verde P., Balao, Guayas, December, 2014",1486,"July, 2015",73%,,U.S.A.,3.5,X ,Ecuador
Coleman & Davis,Sambirano,1646,"July, 2015",75%,,U.S.A.,3,Trinitario,Madagascar
Compania de Chocolate (Salgado),Sur del Lago,579,"May, 2010",70%,,Argentina,3.25,X ,Venezuela
Compania de Chocolate (Salgado),Carenero Superior,292,"April, 2008",80%,,Argentina,2.75,Trinitario,Venezuela
Compania de Chocolate (Salgado),Moxos,292,"April, 2008",72%,,Argentina,3.25,X ,Bolivia
Compania de Chocolate (Salgado),Ocumare,292,"April, 2008",70%,,Argentina,3.75,Criollo,Venezuela
Compania de Chocolate (Salgado),Esmeraldas,296,"April, 2008",88%,,Argentina,2.75,Forastero (Nacional),Ecuador
Condor,Camino Verde,1630,"July, 2015",76%,,usa.,3.5,X ,Ecuador
Confluence,"Tien Giang, July, 2015, batch 10-2-16",1916,"September, 2016",78%,,U.S.A.,2.75,Trinitario,Vietnam
Coppeneur,"Ecuador, Puristique",1169,"May, 2013",65%,,Germany ,3.25,Forastero (Nacional),Ecuador
Coppeneur,Ghana Puristique,813,"January, 2012",85%,,Germany ,3.5,Forastero,Ghana
Coppeneur,Ecuador Puristique,817,"January, 2012",100%,,Germany ,1.5,X ,Ecuador
Coppeneur,Uba Budo,821,"January, 2012",72%,,Germany ,3.75,Forastero,Sao Tome & Principe
Coppeneur,Madagascar,959,"January, 2012",70%,,Germany ,3.5,Trinitario,Madagascar
Coppeneur,Grenada,470,"May, 2010",72%,,Germany ,3.25,Trinitario,Grenada
Coppeneur,Chuao,478,"May, 2010",70%,,Germany ,3,Trinitario,Venezuela
Coppeneur,"Los Rios, H. Iara",558,"May, 2010",72%,,Germany ,2.5,Nacional,Ecuador
Coppeneur,Trinidad,558,"May, 2010",72%,,Germany ,3,Trinitario,Trinidad
Coppeneur,Jamaica,558,"May, 2010",72%,,Germany ,3.25,Trinitario,Jamaica
Coppeneur,Ocumare 61,558,"May, 2010",72%,,Germany ,3.25,Criollo (Ocumare 61),Venezuela
Coppeneur,"Porcelana, Apotequil",341,"February, 2009",72%,,Germany ,3,Criollo,Peru
Coppeneur,"Porcelana, Apotequil",445,"February, 2009",62%,,Germany ,3.25,Criollo,Peru
Coppeneur,Chuao 100hr,451,"February, 2009",70%,,Germany ,3.5,"Criollo, Trinitario",Venezuela
Coppeneur,Chuao 70hr,451,"February, 2009",70%,,Germany ,3.75,"Criollo, Trinitario",Venezuela
Coppeneur,"Porcelana, Tabasco, Mexico",220,"April, 2008",72%,,Germany ,3,Criollo,Mexico
Coppeneur,"Porcelana, Venezuela",220,"April, 2008",72%,,Germany ,3,Criollo (Porcelana),Venezuela
Coppeneur,"Sambirano, Menava P.",196,"June, 2007",72%,,Germany ,3,Trinitario,Madagascar
Cote d' Or (Kraft),Sensations Intense,48,"November, 2006",70%,,Belgium,1,X ,X 
Cravve,New Ireland,1283,"December, 2014",70%,,Australia,2.5,Forastero,Papua New Guinea
Cravve,"Vanuatu, batch 2410",1335,"December, 2014",83%,,Australia,2.75,Trinitario,Vanuatu
Cravve,"Tanzania, batch a1",971,"January, 2012",75%,,Australia,3.25,Forastero,Tanzania
Cravve,"Bahia, batch a1213",975,"January, 2012",65%,,Australia,3.25,Trinitario,Brazil
Cravve,"Namau Village, N. Taileva P., batch a2812",975,"January, 2012",67%,,Australia,3.25,Trinitario,Fiji
Cravve,Vanuatu,975,"January, 2012",64%,,Australia,3.25,Trinitario,Vanuatu
Cravve,Djual Island,975,"January, 2012",75%,,Australia,3.5,Forastero,Papua New Guinea
Creo,"""heirloom"", Arriba Nacional",1736,"September, 2016",85%,,U.S.A.,3.25,Forastero (Nacional),Ecuador
Creo,"""heirloom"", Arriba Nacional",1736,"September, 2016",73%,,U.S.A.,3.75,Forastero (Nacional),Ecuador
Daintree,Goodman Estate,1654,"July, 2015",70%,,Australia,2.75,X ,Australia
Daintree,"Daintree Estates, N. Queensland",785,"October, 2011",70%,,Australia,3.25,X ,Australia
Dalloway,"Dominican Republic, batch 7",1928,"March, 2017",72%,,U.S.A.,2.75,X ,Dominican Republic
Damson,Robson Estate,1610,"July, 2015",70%,,U.K.,3,Trinitario,Trinidad
Damson,Los Rios,1610,"July, 2015",70%,,u.k.,3.5,X ,Ecuador
Damson,Crayfish Bay aka Non Pariel Estate,1666,"July, 2015",70%,,U.K.,2.25,X ,Grenada
Damson,O'Payo,1666,"July, 2015",70%,,U.K.,2.75,X ,Nicaragua
Dandelion,"Zorzal Reserva, July, 2015 H., Kerchner",1816,"September, 2016",70%,,U.S..,3.75,X ,X 
Dandelion,"Maya Mtn., Break Bar- Snark",1446,"July, 2015",70%,,U.S.A.,3,Trinitario,Belize
Dandelion,Maya Mountain,1219,"December, 2014",70%,,U.S.A.,3.5,Trinitario,Belize
Dandelion,"Camino Verde P., Balao, Guayas, May, 2013",1295,"December, 2014",70%,,U.S.A.,3.5,X ,Ecuador
Dandelion,Buto,1303,"December, 2014",70%,,U.S.A.,2.75,X ,Liberia
Dandelion,"San Francisco de Macoris, Cibao region",1387,"December, 2014",70%,,U.S.A.,3.75,X ,Dominican Republic
Dandelion,"Cumboto, farmer Jose Lugo",1026,"May, 2013",70%,,U.S..,2.75,X ,Venezuela
Dandelion,Patanemo,1026,"May, 2013",70%,,U.S.A.,3.25,X ,Venezuela
Dandelion,"Mantuano, January, 2012",1085,"May, 2013",70%,,U.S.A.,3.5,X ,Venezuela
Dandelion,Papua New Guinea,1153,"May, 2013",70%,,U.S.A.,3.5,X ,Papua New Guinea
Dandelion,Upala,805,"January, 2012",70%,,U.S.A.,3,X ,Costa Rica
Dandelion,Colombian,805,"January, 2012",70%,,U.S.A.,3.25,X ,Colombia
Dandelion,"Elvesia, October, 2011",915,"January, 2012",70%,,U.S.A.,3.75,X ,Dominican Republic
Dandelion,Dominican Republic,654,"October, 2011",70%,,U.S.A.,3.25,X ,Dominican Republic
Dandelion,Madagascar,654,"October, 2011",70%,,U.S..,3.25,Trinitario,Madagascar
Dandelion,Tanzania,654,"October, 2011",70%,,U.S.A.,3.25,X ,Tanzania
Danta,Los Ujuxtes,1223,"December, 2014",82%,,Guatemala,3.25,X ,Guatemala
Danta,Chuao,987,"January, 2012",75%,,Guatemala,3,Trinitario,Venezuela
Danta,Los Ujuxtes,987,"January, 2012",70%,,Guatemala,3.75,X ,Guatemala
Danta,Sambirano,987,"January, 2012",70%,,Guatemala,3.75,Trinitario,Madagascar
Danta,Las Acacias E.,987,"January, 2012",70%,,Guatemala,4,Criollo,Guatemala
Danta,"Oscuro, Finca Chimelb",991,"January, 2012",70%,,Guatemala,3.25,X ,Guatemala
Danta,Los Ujuxtes,661,"October, 2011",60%,,Guatemala,3.5,X ,Guatemala
Danta,Las Acacias E.,423,"February, 2009",75%,,Guatemala,3,Criollo,Guatemala
Danta,Las Acacias E.,423,"February, 2009",60%,,Guatemala,3.25,Criollo,Guatemala
DAR,"Venezuela, batch 122",1920,"September, 2016",72%,,U.S.A.,2.75,X ,Venezuela
DAR,Vietnam,1920,"September, 2016",72%,,U.S.A.,3,Trinitario,Vietnam
DAR,"DUO, batch 002",1920,"September, 2016",70%,,U.S.A.,3.25,X ,"Ecuador, Costa Rica"
Dark Forest,Bolivia,1708,"September, 2016",75%,,U.S.A.,3.25,X ,Bolivia
Dark Forest,Madagascar,1550,"July, 2015",70%,,U.S.A.,3,Trinitario,Madagascar
Dark Forest,Ocumare,1550,"July, 2015",70%,,U.S.A.,3.25,X ,Venezuela
Dark Forest,Tanzania,1554,"July, 2015",70%,,U.S.A.,3,X ,Tanzania
Dark Forest,Ecuador,1554,"July, 2015",70%,,usa.,3.25,X ,Ecuador
Davis,Ghana,1093,"May, 2013",70%,,U.S.A.,2.5,Forastero,Ghana
Davis,Rainforest,1093,"May, 2013",70%,,U.S.A.,2.75,X ,Dominican Republic
Davis,Venezuela,1093,"May, 2013",70%,,U.S.A.,2.75,X ,Venezuela
Davis,West Africa,907,"January, 2012",58%,,U.S.A.,3.25,Forastero,West Africa
De Mendes,"Nativo, Varzea",1462,"July, 2015",72%,,Brazil,3.5,X ,Brazil
De Mendes,"Selvagem, Jari",1462,"July, 2015",65%,,Brazil,3.5,X ,Brazil
De Villiers,Bundibugyo District,1832,"September, 2016",70%,,South Africa,2.5,Forastero,Uganda
De Villiers,"Sambirano Valley, batch 2477",1832,"September, 2016",70%,,South Africa,3,X ,Madagascar
Dean and Deluca (Belcolade),Madagascar,170,"June, 2007",66%,,U.S.A.,2.5,Trinitario,Madagascar
Dean and Deluca (Belcolade),Costa Rica,175,"June, 2007",64%,,U.S.A.,3,X ,Costa Rica
Dean and Deluca (Belcolade),Ecuador,175,"June, 2007",71%,,U.S.A.,3,X ,Ecuador
Dean and Deluca (Belcolade),Ghana,175,"June, 2007",60%,,U.S.A.,3,Forastero,Ghana
Dean and Deluca (Belcolade),Papua New Guinea,180,"June, 2007",64%,,U.S.A.,3,X ,Papua New Guinea
Dean and Deluca (Belcolade),Peru,180,"June, 2007",64%,,U.S.A.,3,X ,Peru
Debauve & Gallais (Michel Cluizel),Papua New Guinea,423,"February, 2009",64%,, France,3,X ,Papua New Guinea
Debauve & Gallais (Michel Cluizel),Venezuela,263,"April, 2008",66%,, France,3.75,X ,Venezuela
Desbarres,"Kilombero, batch 41",1916,"September, 2016",72%,,Canada,2.5,X ,Tanzania
DeVries,Bolivian,241,"April, 2008",80%,,U.S.A.,2.75,X ,Bolivia
DeVries,Costa Rica,166,"June, 2007",77%,,U.S.A.,3.5,Trinitario,Costa Rica
DeVries,Dominican Republic,166,"June, 2007",77%,,U.S.A.,3.5,X ,Dominican Republic
Dick Taylor,Lanquin Estate,1952,"March, 2017",70%,,U.S.A.,3.75,X ,Guatemala
Dick Taylor,Tien Giang,1864,"September, 2016",78%,,U.S.A.,3.5,Trinitario,Vietnam
Dick Taylor,"Alto Beni, Wild Harvest, Limited Ed.",1634,"July, 2015",70%,,U.S.A.,3.75,X ,Bolivia
Dick Taylor,Elvesia,1235,"December, 2014",74%,,U.S.A.,3.5,X ,Dominican Republic
Dick Taylor,"Ecuador, Choc. Garage Exclusive",1034,"May, 2013",70%,,U.S.A.,3.25,X ,Ecuador
Dick Taylor,Camino Verde,1193,"May, 2013",76%,,U.S.A.,3.5,X ,Ecuador
Dick Taylor,Bolivia,895,"January, 2012",75%,,U.S.A.,2.75,X ,Bolivia
Dick Taylor,Belize,955,"January, 2012",72%,,U.S..,2.75,Trinitario,Belize
Dick Taylor,Sambirano,661,"October, 2011",80%,,U.S.A.,2.75,Trinitario,Madagascar
Dick Taylor,Sambirano,661,"October, 2011",72%,,U.S.A.,3,Trinitario,Madagascar
Dick Taylor,Mantuano,682,"October, 2011",75%,,usa.,2.75,Criollo,Venezuela
Dick Taylor,La Red,769,"October, 2011",74%,,U.S.A.,3,X ,Dominican Republic
Dick Taylor,Ecuador,769,"October, 2011",70%,,U.S.A.,3.25,X ,Ecuador
Doble & Bignall,Puerto Cabello,1688,"July, 2015",85%,,U.K.,3,X ,Venezuela
Doble & Bignall,"Panama, Raven",1371,"December, 2014",72%,,U.K.,3.25,X ,Panama
